Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Account__c,Autopilot__c,Battery__c,Billing_Status__c,Cancelled__c,Delivery_Date__c,Hydraulic_System__c,Interior__c,Loan_Application__c,Manufacturing_Status__c,Model__c,Owner__c,Paint__c,Payment_Type__c,Prediction_Sample__c,Price__c,Rear_Seats__c,SAP_ID__c,Self_Driving__c,Spoiler__c,Status__c,Sunroof__c,Web_ID__c,Wheels__c,Year__c
a040U000002BaIXQA0,0050U000003lEZMQA2,,V-000230,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqZQAW,1,75 kWh,Not Invoiced,,,,White Premium,,Painting,Flint,0030U00000qIjsUQAS,1000,Loan,,45075,1,,1,1,Manufacturing,,,"19"" Sonic Carbon Wheels",2020
a040U000002BaIYQA0,0050U000003lEZMQA2,,V-000231,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqaQAG,1,75 kWh,Not Invoiced,,,,Light Premium,,Delivered,Flint,0030U00000qIjsVQAS,130,Cash,,44500,,,1,,Manufacturing,1,,"19"" Silver Wheels",2020
a040U000002BaIZQA0,0050U000003lEZMQA2,,V-000232,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqbQAG,1,100P kWh,Not Invoiced,,,1,Light Premium,,Delivered,Flare,0030U00000qIjsWQAS,1000,Cash,,61675,1,,,1,Manufacturing,1,,"19"" Sonic Carbon Wheels",2020
a040U000002BaIaQAK,0050U000003lEZMQA2,,V-000233,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqcQAG,1,100 kWh,Not Invoiced,,,,Black Premium,,,Flare,0030U00000qIjsXQAS,4150,Cash,,59500,,,1,,Purchase,1,,"19"" Sonic Carbon Wheels",2020
a040U000002BaIbQAK,0050U000003lEZMQA2,,V-000234,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqdQAG,,75 kWh,Not Invoiced,,,,Black Textile,,,Flint,0030U00000qIjsYQAS,4150,Cash,,40275,,,1,1,Ownership,1,,"19"" Silver Wheels",2020
a040U000002BaIcQAK,0050U000003lEZMQA2,,V-000235,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqeQAG,,100 kWh,Not Invoiced,,,,White Premium,,Welding,Flint,0030U00000qIjsZQAS,0,Loan,,41300,1,,,,Manufacturing,,,"19"" Sonic Carbon Wheels",2020
a040U000002BaIdQAK,0050U000003lEZMQA2,,V-000236,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqfQAG,,100 kWh,Not Invoiced,,,,Cream Premium,,,Flare,0030U00000qIjsaQAC,230,Cash,,50000,,,,,Purchase,,,"19"" Silver Wheels",2020
a040U000002BaIeQAK,0050U000003lEZMQA2,,V-000237,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqgQAG,1,100P kWh,Not Invoiced,,,,Light Premium,,,Flare,0030U00000qIjsbQAC,230,Loan,,57000,,,,,Purchase,,,"19"" Silver Wheels",2020
a040U000002BaIfQAK,0050U000003lEZMQA2,,V-000238,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqhQAG,1,100 kWh,Not Invoiced,,,1,Cream Premium,,,Flash,0030U00000qIjscQAC,230,Loan,,67600,,,,,Ownership,1,,"19"" Sonic Carbon Wheels",2020
a040U000002BaIgQAK,0050U000003lEZMQA2,,V-000239,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqiQAG,1,75 kWh,Not Invoiced,,,1,Black Premium,,,Flare,0030U00000qIjsdQAC,4150,,,,1,,,1,Evaluation,,,"19"" Sonic Carbon Wheels",2020
a040U000002BaIhQAK,0050U000003lEZMQA2,,V-000240,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqjQAG,1,100 kWh,Not Invoiced,,,1,Black Premium,,,Flash,0030U00000qIjseQAC,130,Cash,,70400,1,,1,,Ownership,,,"19"" Onyx Black Spinners",2020
a040U000002BaIiQAK,0050U000003lEZMQA2,,V-000241,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqkQAG,,100 kWh,Not Invoiced,,,1,Black Textile,,,Flint,0030U00000qIjsfQAC,130,Loan,,44675,1,,,1,Purchase,1,,"19"" Sonic Carbon Wheels",2020
a040U000002BaIjQAK,0050U000003lEZMQA2,,V-000242,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqlQAG,,75 kWh,Not Invoiced,,,1,White Premium,,Assembly,Flare,0030U00000qIjsgQAC,1000,Loan,,48175,1,,,1,Manufacturing,,,"19"" Sonic Carbon Wheels",2020
a040U000002BaIkQAK,0050U000003lEZMQA2,,V-000243,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqmQAG,1,100 kWh,Not Invoiced,,,1,Black Textile,,Backlog,Flash,0030U00000qIjshQAC,4150,Cash,,71175,1,,1,1,Manufacturing,,,"19"" Silver Wheels",2020
a040U000002BaIlQAK,0050U000003lEZMQA2,,V-000244,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqnQAG,,75 kWh,Not Invoiced,,,1,Black Premium,,Stamping,Flare,0030U00000qIjsiQAC,1000,Loan,,48375,,,,1,Manufacturing,1,,"19"" Sonic Carbon Wheels",2020
a040U000002BaImQAK,0050U000003lEZMQA2,,V-000245,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqoQAG,,75 kWh,Not Invoiced,,,,Black Premium,,,Flare,0030U00000qIjsjQAC,230,Cash,,49500,,,1,,Delivery,1,,"19"" Sonic Carbon Wheels",2020
a040U000002BaInQAK,0050U000003lEZMQA2,,V-000246,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqpQAG,1,100 kWh,Not Invoiced,,,,Black Premium,,Painting,Flare,0030U00000qIjskQAC,4150,Cash,,60800,1,,1,,Manufacturing,1,,"19"" Silver Wheels",2020
a040U000002BaIoQAK,0050U000003lEZMQA2,,V-000247,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqqQAG,1,75 kWh,Not Invoiced,,,,Black Premium,,,Flash,0030U00000qIjslQAC,1000,,,,1,,1,,Evaluation,1,,"19"" Sonic Carbon Wheels",2020
a040U000002BaIpQAK,0050U000003lEZMQA2,,V-000248,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqrQAG,1,75 kWh,Not Invoiced,,,1,Black Premium,,,Flare,0030U00000qIjsmQAC,1000,Cash,,53175,1,,,1,Delivery,,,"19"" Silver Wheels",2020
a040U000002BaIqQAK,0050U000003lEZMQA2,,V-000249,2020-05-30T05:27:53.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,0010U000012MUqsQAG,,100 kWh,Not Invoiced,,,1,Black Textile,,,Flint,0030U00000qIjsnQAC,55,Loan,,43900,1,,,,Purchase,1,,"19"" Onyx Black Spinners",2020
