Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Account__c,Autopilot__c,Battery__c,Billing_Status__c,Cancelled__c,Delivery_Date__c,Hydraulic_System__c,Interior__c,Loan_Application__c,Manufacturing_Status__c,Model__c,Owner__c,Paint__c,Payment_Type__c,Prediction_Sample__c,Price__c,Rear_Seats__c,SAP_ID__c,Self_Driving__c,Spoiler__c,Status__c,Sunroof__c,Web_ID__c,Wheels__c,Year__c
a041D0000058WXWQA2,0051D000006P1N1QAK,,V-000000,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrBQAW,1,75 kWh,Not Invoiced,,,,White Premium,,Painting,Flint,0031D00000ZCFcYQAX,1000,Loan,,45075,1,,1,1,Manufacturing,,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXXQA2,0051D000006P1N1QAK,,V-000001,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrCQAW,1,75 kWh,Not Invoiced,,,,Light Premium,,Delivered,Flint,0031D00000ZCFcZQAX,130,Cash,,44500,,,1,,Manufacturing,1,,"19"" Silver Wheels",2020
a041D0000058WXYQA2,0051D000006P1N1QAK,,V-000002,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrDQAW,1,100P kWh,Not Invoiced,,,1,Light Premium,,Delivered,Flare,0031D00000ZCFcaQAH,1000,Cash,,61675,1,,,1,Manufacturing,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXZQA2,0051D000006P1N1QAK,,V-000003,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrEQAW,1,100 kWh,Not Invoiced,,,,Black Premium,,,Flare,0031D00000ZCFcbQAH,4150,Cash,,59500,,,1,,Purchase,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXaQAM,0051D000006P1N1QAK,,V-000004,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrFQAW,,75 kWh,Not Invoiced,,,,Black Textile,,,Flint,0031D00000ZCFccQAH,4150,Cash,,40275,,,1,1,Ownership,1,,"19"" Silver Wheels",2020
a041D0000058WXbQAM,0051D000006P1N1QAK,,V-000005,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrGQAW,,100 kWh,Not Invoiced,,,,White Premium,,Welding,Flint,0031D00000ZCFcdQAH,0,Loan,,41300,1,,,,Manufacturing,,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXcQAM,0051D000006P1N1QAK,,V-000006,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrHQAW,,100 kWh,Not Invoiced,,,,Cream Premium,,,Flare,0031D00000ZCFceQAH,230,Cash,,50000,,,,,Purchase,,,"19"" Silver Wheels",2020
a041D0000058WXdQAM,0051D000006P1N1QAK,,V-000007,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrIQAW,1,100P kWh,Not Invoiced,,,,Light Premium,,,Flare,0031D00000ZCFcfQAH,230,Loan,,57000,,,,,Purchase,,,"19"" Silver Wheels",2020
a041D0000058WXeQAM,0051D000006P1N1QAK,,V-000008,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrJQAW,1,100 kWh,Not Invoiced,,,1,Cream Premium,,,Flash,0031D00000ZCFcgQAH,230,Loan,,67600,,,,,Ownership,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXfQAM,0051D000006P1N1QAK,,V-000009,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrKQAW,1,75 kWh,Not Invoiced,,,1,Black Premium,,,Flare,0031D00000ZCFchQAH,4150,,,,1,,,1,Evaluation,,,"19"" Sonic Carbon Wheels",2020
